10th_percent,12th_percent,jee_rank,gender,experience,engineering_field,college_tier,salary
82.7,89.6,8106,Female,2,Civil,Mid IIT,1153823
73.5,72.3,56026,Male,3,Computer Science,State College,807221
61.2,61.0,73037,Female,3,Computer Science,Private College,670874
81.2,82.3,20112,Male,2,Electrical,State College,600664
75.9,74.5,17628,Male,3,Mechanical,State College,250000
74.5,79.1,93567,Male,9,Civil,State College,600848
83.6,83.0,8299,Male,5,Mechanical,State College,641560
68.9,78.7,1886,Male,7,Computer Science,State College,638914
70.4,67.9,3081,Male,4,Mechanical,Private College,499061
77.6,83.3,6809,Male,3,Computer Science,State College,1308637
95.6,93.1,154,Male,2,Computer Science,Mid IIT,2940673
97.0,95.6,381,Male,2,Electrical,Top IIT,1448500
73.9,66.9,15356,Female,4,Civil,State College,580976
80.9,88.0,508,Male,7,Electrical,Mid IIT,2256461
69.1,65.0,8280,Male,3,Electronics,State College,966130
80.3,75.3,26288,Male,1,Civil,State College,419040
75.7,77.3,19012,Male,5,Computer Science,State College,1198835
69.2,71.8,54392,Male,2,Mechanical,State College,435612
100.0,93.8,14203,Female,2,Electronics,State College,308883
72.0,70.1,2121,Male,5,Computer Science,NIT,1536123
81.4,72.3,57798,Male,3,Computer Science,State College,1246414
100.0,100.0,769,Male,3,Computer Science,Mid IIT,2339244
88.7,88.5,2885,Female,4,Mechanical,NIT,1169294
74.4,68.8,36937,Male,1,Computer Science,State College,816656
77.0,76.8,18587,Female,10,Electronics,Private College,395740
81.9,77.4,3373,Female,7,Computer Science,Private College,666956
83.6,84.0,16393,Male,3,Mechanical,State College,263450
73.5,73.8,249655,Male,7,Electronics,NIT,2027361
73.2,80.4,158568,Female,3,Mechanical,NIT,924005
80.4,78.1,33487,Female,2,Electronics,State College,502489
98.9,93.9,6446,Female,3,Computer Science,State College,729474
94.0,91.9,387,Female,3,Mechanical,Mid IIT,1617723
81.2,80.1,26717,Female,4,Computer Science,State College,1040147
98.4,97.4,780,Male,7,Civil,NIT,1059490
95.9,89.8,3184,Female,3,Computer Science,NIT,2622085
87.1,95.3,60,Male,3,Electrical,Top IIT,2000112
79.1,73.5,103542,Male,3,Civil,State College,370650
74.9,69.5,19031,Male,1,Electrical,State College,629130
65.5,59.5,3500,Male,5,Mechanical,State College,1209671
80.2,82.4,8390,Male,4,Electrical,Private College,527909
85.0,82.6,17597,Male,5,Electrical,State College,623813
88.0,92.0,9675,Male,3,Electrical,NIT,851915
81.1,80.0,1531,Male,10,Electronics,NIT,2418702
71.9,62.5,21552,Male,3,Computer Science,Private College,610262
100.0,96.0,146,Female,10,Civil,Mid IIT,2183872
66.4,61.0,74974,Male,3,Computer Science,Private College,832961
93.2,96.0,361,Female,5,Electrical,State College,1008577
69.8,70.3,17103,Female,3,Computer Science,Private College,903731
70.9,67.3,55342,Male,1,Electrical,State College,582013
76.6,76.2,2254,Male,4,Computer Science,Private College,627096
78.7,76.7,32378,Male,3,Computer Science,NIT,1712573
85.3,83.8,16836,Female,4,Computer Science,State College,340786
74.7,77.1,4891,Male,8,Mechanical,State College,867575
69.4,76.4,4695,Female,3,Computer Science,Private College,716021
98.0,96.0,823,Male,10,Computer Science,Mid IIT,3000000
71.7,75.3,23520,Male,2,Computer Science,State College,1601859
64.9,65.0,3319,Male,5,Mechanical,State College,725150
72.5,71.8,24246,Male,3,Civil,NIT,878786
70.9,65.5,76799,Male,10,Civil,Private College,516558
81.4,81.9,13542,Male,4,Computer Science,State College,2174639
78.9,77.5,7046,Female,10,Civil,State College,1225537
86.4,81.1,249675,Female,8,Computer Science,Private College,626425
81.0,75.6,6013,Male,4,Civil,State College,328746
82.9,86.5,5438,Male,4,Electrical,State College,861177
87.0,91.6,5954,Female,2,Civil,NIT,356091
96.0,99.0,563,Female,8,Civil,Private College,692720
84.4,75.1,17035,Female,6,Computer Science,NIT,1788004
78.1,85.5,29215,Female,3,Civil,Private College,642283
81.2,82.1,4120,Male,4,Civil,State College,482105
71.7,71.7,61392,Female,10,Civil,State College,1032781
95.8,91.6,4683,Female,7,Mechanical,NIT,1436090
77.8,73.0,10573,Female,6,Computer Science,State College,1258564
82.8,88.3,10892,Male,9,Computer Science,Mid IIT,2905654
74.7,73.9,14909,Female,9,Computer Science,State College,1127328
90.4,85.0,3947,Male,3,Electronics,State College,420526
71.8,65.1,19969,Female,8,Computer Science,State College,416673
86.2,86.7,39447,Male,4,Electronics,Private College,899970
91.8,83.9,7526,Male,3,Mechanical,NIT,987556
91.0,90.9,12160,Male,3,Electrical,State College,471036
88.1,88.5,784,Male,5,Mechanical,NIT,784726
86.9,80.3,18911,Female,7,Computer Science,State College,262498
68.1,64.8,14990,Male,2,Electrical,Private College,250000
84.9,88.0,8918,Female,5,Computer Science,State College,823337
75.6,77.6,13823,Female,4,Computer Science,NIT,1708120
66.1,66.1,16295,Female,8,Electrical,State College,829246
92.6,96.8,1959,Male,3,Mechanical,NIT,917792
71.0,77.6,29427,Male,7,Computer Science,State College,955707
66.3,73.6,105179,Female,10,Electrical,State College,1033381
88.8,88.4,530,Male,3,Computer Science,State College,814847
84.1,83.0,24435,Male,4,Computer Science,State College,1216527
97.4,97.3,6171,Male,3,Electrical,State College,337534
79.0,78.7,106593,Male,4,Computer Science,State College,1626365
83.0,88.9,10244,Female,1,Civil,State College,250000
91.2,92.2,2027,Male,2,Mechanical,Mid IIT,733135
73.4,68.6,54783,Male,5,Civil,State College,733324
81.0,81.9,6036,Female,4,Computer Science,State College,1229693
85.2,78.3,249569,Male,2,Computer Science,NIT,2180068
82.8,79.0,5833,Female,1,Computer Science,State College,1150979
87.0,81.4,4274,Male,4,Computer Science,State College,901434
99.0,99.0,790,Male,5,Computer Science,NIT,1591307
78.3,72.3,19540,Male,10,Electrical,State College,1090074
86.3,79.2,9299,Male,3,Mechanical,State College,689510
69.8,74.0,27487,Female,6,Mechanical,State College,701155
88.0,86.6,683,Male,1,Civil,Mid IIT,1168592
98.0,96.0,2326,Female,2,Electrical,State College,472066
68.3,62.9,35852,Male,5,Electronics,Private College,1130336
81.1,88.2,2542,Male,4,Electrical,State College,871656
69.8,70.4,250071,Female,3,Mechanical,State College,997650
88.8,83.7,34028,Female,2,Mechanical,State College,398243
91.4,85.5,99907,Male,2,Electrical,NIT,1812604
79.6,76.2,41039,Male,4,Electrical,State College,698007
82.7,81.1,10879,Male,9,Computer Science,State College,761757
88.4,87.1,9593,Male,4,Mechanical,State College,279568
73.1,75.9,44631,Male,6,Electrical,NIT,1292737
99.0,97.0,1,Male,5,Mechanical,NIT,1189834
66.8,68.5,44984,Male,1,Computer Science,State College,893270
71.5,72.7,249997,Female,8,Mechanical,NIT,1503125
89.1,84.9,8520,Female,5,Electrical,State College,557768
93.2,87.5,1992,Male,4,Computer Science,NIT,1514207
77.6,75.5,9779,Female,10,Electronics,State College,1215485
70.7,77.8,76339,Female,4,Mechanical,State College,314765
68.3,72.5,26366,Male,3,Computer Science,State College,1785903
99.0,94.0,471,Male,4,Computer Science,Mid IIT,2284273
89.5,85.4,3060,Male,5,Computer Science,State College,2147826
81.0,83.1,9476,Male,8,Electrical,State College,250000
94.8,89.7,4255,Male,4,Mechanical,Mid IIT,2195956
87.0,79.5,68409,Male,7,Computer Science,NIT,2762789
75.2,71.4,7714,Male,1,Computer Science,State College,1280849
83.9,77.6,249778,Male,4,Electrical,NIT,1415490
80.1,72.3,187566,Female,6,Civil,State College,432122
90.4,90.6,2583,Male,9,Computer Science,NIT,2966029
70.1,76.7,16542,Female,3,Computer Science,State College,898456
72.1,80.3,15543,Female,4,Electrical,State College,325990
95.4,97.1,757,Female,4,Computer Science,State College,1571136
82.3,77.8,2667,Male,5,Computer Science,NIT,849354
89.7,80.5,7034,Male,2,Computer Science,State College,1011144
100.0,94.9,18808,Female,6,Computer Science,State College,2049779
100.0,99.0,607,Female,5,Computer Science,NIT,1835944
96.0,88.9,4465,Female,6,Computer Science,State College,1328902
73.8,70.5,250409,Male,2,Electrical,NIT,685989
92.8,89.4,2129,Male,4,Electrical,Private College,844037
89.2,84.7,18440,Female,8,Electrical,NIT,1884849
81.8,72.0,19899,Female,5,Civil,NIT,749634
86.7,84.3,36790,Male,6,Electronics,State College,1462742
75.1,79.8,6007,Male,3,Mechanical,State College,377609
84.6,88.0,208300,Male,1,Computer Science,NIT,1355194
77.6,78.2,151048,Female,8,Computer Science,State College,662900
76.9,86.9,49483,Male,3,Civil,Private College,332636
83.8,83.6,1013,Male,1,Electrical,State College,767924
81.4,84.7,27043,Male,4,Civil,Private College,478063
75.0,69.7,250446,Male,1,Mechanical,State College,510721
72.5,67.7,23185,Male,10,Civil,State College,717215
68.7,72.0,41055,Male,5,Civil,State College,564050
70.3,79.2,5368,Male,3,Electrical,State College,495574
71.1,73.6,2652,Male,8,Civil,State College,832248
66.9,72.2,5352,Male,4,Civil,State College,483979
74.2,72.0,16904,Female,5,Electrical,State College,640574
74.3,68.2,250284,Male,10,Electronics,State College,334484
85.5,84.3,569,Female,7,Mechanical,Mid IIT,1129599
76.7,77.8,2858,Female,7,Electrical,State College,881840
82.3,73.3,41450,Female,3,Computer Science,State College,1013496
65.6,69.5,6534,Female,6,Computer Science,State College,1175078
85.7,87.1,1514,Male,1,Mechanical,State College,351218
82.8,87.0,655,Female,1,Computer Science,NIT,2117077
85.0,79.9,4547,Male,2,Computer Science,State College,946098
74.8,74.2,1523,Male,2,Computer Science,NIT,1422723
96.0,91.5,9586,Female,8,Computer Science,State College,742213
79.5,69.1,53126,Male,3,Electrical,State College,867041
78.0,79.4,8609,Male,4,Computer Science,Private College,988219
74.5,83.8,702,Male,1,Computer Science,Mid IIT,2353352
84.0,84.3,162,Male,4,Mechanical,Mid IIT,2041985
86.6,96.6,3953,Female,4,Mechanical,NIT,650333
79.5,74.8,1413,Male,5,Civil,State College,1025103
70.2,69.2,7660,Female,5,Mechanical,State College,855709
77.0,75.0,57683,Male,5,Computer Science,State College,1011948
74.6,72.6,45413,Female,2,Mechanical,NIT,820411
81.1,74.3,33034,Male,6,Computer Science,State College,1600797
73.2,67.1,97245,Male,6,Computer Science,State College,579327
78.8,80.1,68924,Male,2,Electronics,State College,791842
86.2,90.8,4817,Female,5,Electrical,Mid IIT,1478426
80.1,79.0,126942,Male,2,Mechanical,State College,250000
84.1,93.1,5745,Male,5,Civil,State College,835691
90.8,89.9,521,Male,10,Electrical,Private College,1114765
82.4,88.6,11310,Female,4,Electronics,State College,573899
85.9,76.3,8799,Male,2,Electrical,State College,250000
75.1,69.1,5844,Male,4,Computer Science,State College,250000
63.400000000000006,61.0,35190,Male,5,Mechanical,NIT,854673
96.0,87.6,11685,Male,3,Electrical,State College,505238
85.8,88.6,4865,Male,3,Electrical,State College,555368
100.0,86.7,5923,Female,10,Electrical,State College,868738
68.8,72.8,17691,Female,7,Mechanical,State College,506964
87.8,85.0,26742,Male,4,Electronics,State College,250000
69.9,59.7,297,Male,5,Computer Science,Private College,904936
89.6,85.1,7209,Female,4,Mechanical,State College,430018
91.6,93.5,8007,Male,4,Electrical,NIT,1228180
86.5,87.5,11050,Female,6,Mechanical,State College,947143
78.8,85.8,20595,Male,4,Computer Science,State College,250000
81.7,76.7,23173,Male,2,Computer Science,State College,660035
76.1,70.2,19312,Female,3,Civil,NIT,698614
70.2,65.9,876,Female,10,Electronics,State College,2072206
75.4,67.7,16235,Male,3,Computer Science,State College,1437637
77.1,80.2,13013,Male,3,Electrical,State College,403793
76.7,74.3,249794,Male,4,Mechanical,Private College,469355
93.9,91.0,1343,Male,1,Computer Science,State College,577824
78.0,80.4,5816,Male,3,Electrical,State College,806628
90.7,89.0,4335,Male,4,Electrical,State College,522704
80.1,77.7,108339,Female,3,Civil,State College,792885
76.9,68.4,5738,Male,5,Computer Science,State College,730257
95.2,90.5,2222,Female,2,Mechanical,NIT,1068026
81.0,85.3,11402,Female,6,Electrical,State College,849241
70.0,71.0,34663,Male,10,Computer Science,State College,898098
84.7,83.2,113409,Female,4,Electrical,State College,250000
83.8,80.1,4317,Male,2,Mechanical,State College,642619
93.2,96.0,340,Male,2,Electrical,State College,415454
84.2,77.5,163491,Female,1,Electrical,NIT,974780
71.4,78.9,30839,Male,4,Mechanical,State College,287939
81.8,80.9,6548,Male,5,Electronics,State College,577256
71.9,63.8,31954,Male,3,Computer Science,Private College,1401146
72.6,71.7,3128,Male,6,Electrical,State College,250000
89.0,78.0,17111,Male,2,Civil,State College,306587
71.5,63.2,14048,Male,4,Mechanical,Private College,250000
78.7,75.6,51114,Female,8,Mechanical,State College,1136440
70.0,71.2,34980,Female,4,Computer Science,State College,250000
79.1,73.8,9169,Male,3,Electronics,State College,991789
74.9,79.5,8029,Female,2,Computer Science,State College,250000
99.8,91.9,646,Male,2,Electronics,Mid IIT,1818995
69.6,58.8,1753,Male,8,Mechanical,State College,1088323
96.6,92.8,11404,Male,1,Mechanical,State College,722567
80.3,82.0,2344,Male,3,Computer Science,State College,1062032
73.0,80.7,27353,Male,9,Computer Science,State College,2773202
78.6,83.8,5758,Male,1,Electrical,State College,617729
78.8,74.7,11076,Female,5,Mechanical,State College,296442
74.2,69.2,29364,Female,4,Electronics,State College,594706
96.0,97.0,1501,Male,3,Mechanical,NIT,1043511
85.2,77.1,1353,Female,3,Civil,State College,515880
91.3,87.2,13862,Male,7,Mechanical,State College,593957
79.4,74.8,12962,Male,4,Electrical,State College,250000
78.4,70.6,30044,Male,9,Electronics,State College,1285492
89.8,84.4,254,Female,6,Electrical,NIT,1609481
80.2,83.2,12946,Female,5,Civil,State College,555742
86.4,87.2,204,Male,4,Electrical,NIT,1313463
96.0,90.4,1,Female,3,Computer Science,State College,820876
70.4,75.7,19721,Male,5,Electronics,NIT,1628220
87.3,85.0,1825,Female,2,Mechanical,Private College,419714
83.1,87.6,3481,Male,4,Civil,Mid IIT,2509876
97.1,91.7,5799,Female,2,Electronics,State College,252553
79.5,75.6,6693,Female,2,Computer Science,NIT,1158147
68.2,73.7,38861,Male,3,Mechanical,State College,632789
87.7,86.9,3633,Female,4,Computer Science,State College,838654
81.7,76.6,5984,Female,3,Electrical,NIT,1224858
88.2,91.0,7592,Female,2,Computer Science,NIT,976396
74.7,71.6,1050,Male,2,Computer Science,State College,772669
88.0,86.7,4390,Female,10,Electronics,Mid IIT,1572217
79.8,74.8,250357,Male,8,Mechanical,State College,759447
83.1,86.2,6748,Male,8,Electrical,State College,644295
68.0,68.1,27013,Male,7,Civil,State College,250000
93.3,92.5,5136,Male,9,Mechanical,NIT,1290189
87.9,78.3,14651,Male,6,Mechanical,State College,383019
80.6,80.7,6819,Male,2,Electronics,Private College,643693
86.0,86.8,1685,Male,4,Mechanical,State College,652438
71.7,77.7,24169,Female,3,Computer Science,State College,395093
80.5,79.7,89173,Male,2,Electronics,State College,250000
98.0,90.4,1281,Female,5,Electrical,NIT,788392
72.2,77.8,27366,Male,4,Electrical,State College,852951
74.1,74.5,28505,Female,8,Electrical,State College,1143683
76.4,79.7,64545,Male,10,Electronics,State College,1099763
75.5,79.8,15444,Male,10,Mechanical,State College,901408
70.5,74.5,102879,Female,2,Computer Science,State College,250000
77.6,68.9,25236,Female,6,Computer Science,State College,250000
74.9,77.2,78960,Male,2,Electronics,NIT,1021491
79.8,75.4,104294,Female,3,Civil,State College,367976
81.0,77.2,29831,Female,3,Mechanical,State College,1031045
79.7,71.8,71336,Female,2,Computer Science,State College,1202172
97.0,95.0,749,Female,9,Computer Science,Top IIT,3000000
79.2,66.7,4676,Female,6,Electrical,Private College,756335
80.3,72.9,138883,Female,3,Civil,Private College,250000
76.4,80.7,28019,Female,5,Computer Science,State College,1046841
70.8,71.3,249852,Male,4,Electrical,State College,694455
76.4,69.0,79082,Male,3,Civil,State College,383429
97.0,92.5,22,Male,2,Computer Science,State College,475443
80.5,82.7,10181,Female,4,Mechanical,NIT,961043
75.7,75.8,24803,Male,3,Computer Science,Private College,250000
98.0,86.1,1591,Female,5,Computer Science,State College,958939
69.3,69.2,16214,Male,1,Electronics,State College,516409
82.2,82.5,83817,Male,10,Computer Science,State College,1125898
80.3,83.3,27739,Male,4,Mechanical,State College,754879
76.9,74.4,66157,Female,7,Electronics,State College,250000
78.4,77.7,37073,Female,3,Computer Science,State College,1786036
90.1,79.7,6394,Male,2,Mechanical,State College,728170
75.1,78.6,4765,Female,8,Computer Science,State College,1206537
86.7,86.8,37527,Male,2,Electronics,State College,359027
67.9,81.8,10353,Male,6,Electrical,State College,250000
69.8,73.9,9808,Female,4,Computer Science,State College,957066
80.1,83.2,69203,Male,2,Computer Science,State College,627322
92.6,83.8,118413,Male,6,Electrical,State College,531908
77.6,78.5,7766,Male,7,Computer Science,State College,1366363
65.5,69.3,54732,Male,2,Computer Science,State College,921417
70.7,75.0,7242,Male,6,Electrical,State College,579030
63.4,62.4,2834,Male,7,Civil,State College,615375
70.4,68.0,2232,Male,5,Electronics,State College,273560
74.8,70.9,59665,Female,3,Computer Science,NIT,1254609
83.7,73.5,1587,Male,3,Computer Science,NIT,2362541
80.8,80.0,14146,Male,7,Computer Science,State College,904565
73.7,66.5,4535,Male,10,Computer Science,State College,1987976
79.6,83.9,68860,Male,4,Electrical,NIT,1076721
88.7,84.1,10695,Female,7,Mechanical,State College,829871
66.6,67.8,21757,Male,5,Computer Science,State College,250000
96.3,93.5,4206,Female,7,Computer Science,State College,1212304
79.6,81.2,173524,Female,3,Mechanical,State College,1014386
82.9,84.2,5597,Female,4,Computer Science,State College,798538
78.1,84.2,9011,Male,8,Electrical,State College,250000
82.7,77.4,3170,Female,4,Computer Science,State College,923593
94.7,93.0,16363,Male,6,Computer Science,Mid IIT,2675128
90.7,95.3,3282,Male,8,Mechanical,NIT,1262997
86.9,80.7,29985,Female,5,Mechanical,State College,583256
88.4,82.8,5721,Male,2,Computer Science,State College,896481
86.9,85.7,1,Female,5,Electrical,State College,1041864
90.7,93.6,929,Female,6,Computer Science,State College,1120706
88.5,96.1,5296,Male,7,Computer Science,State College,834031
80.9,79.8,29042,Male,9,Computer Science,State College,264068
79.7,78.6,250200,Female,4,Computer Science,NIT,633958
92.5,94.8,4367,Female,5,Computer Science,NIT,3000000
73.4,70.3,3294,Male,2,Computer Science,State College,841950
66.0,78.8,72677,Female,1,Mechanical,State College,628643
80.9,86.0,9221,Male,10,Computer Science,State College,2063093
75.1,72.9,60304,Male,9,Electrical,NIT,1397474
79.4,82.8,6282,Female,10,Electrical,State College,1154194
75.1,82.4,72605,Male,4,Computer Science,Private College,922073
92.5,94.8,904,Male,3,Electrical,NIT,1374335
98.0,88.8,2393,Male,7,Civil,NIT,1711718
98.0,93.7,786,Female,5,Mechanical,Mid IIT,1531063
83.4,80.2,59811,Female,4,Electronics,State College,1031483
79.6,78.4,25550,Male,6,Electrical,State College,858185
71.5,72.7,29971,Female,1,Civil,NIT,715263
89.3,89.2,1150,Male,3,Electrical,Mid IIT,1588240
67.9,64.5,16532,Male,5,Computer Science,State College,742108
72.0,76.9,49495,Male,4,Mechanical,State College,308866
77.5,76.6,44887,Male,7,Computer Science,NIT,2299948
79.2,72.7,165430,Male,10,Mechanical,State College,798679
90.6,76.5,14471,Male,4,Electrical,State College,977117
84.4,89.8,1987,Male,5,Computer Science,State College,946163
74.8,71.2,5637,Male,4,Electrical,NIT,986081
79.4,86.1,65684,Male,6,Electrical,State College,971908
69.9,65.1,21495,Male,3,Computer Science,State College,980427
90.8,79.9,4705,Male,4,Mechanical,State College,660417
88.8,75.5,16579,Female,7,Mechanical,State College,1093439
73.4,77.5,58178,Male,7,Mechanical,State College,527357
81.1,78.6,3423,Male,4,Computer Science,State College,779363
80.7,81.9,250107,Male,5,Computer Science,NIT,818190
69.6,64.2,62831,Male,6,Electrical,State College,388802
93.8,93.0,10582,Male,5,Electrical,NIT,967031
80.7,78.5,8826,Female,3,Civil,State College,1030374
79.4,78.1,128571,Female,7,Computer Science,NIT,1186974
95.4,91.6,906,Female,3,Civil,Top IIT,2741575
80.7,72.3,16077,Male,3,Electrical,State College,643311
74.5,78.4,22805,Male,6,Computer Science,State College,1475165
71.4,64.0,57125,Female,5,Electrical,State College,1516570
77.4,76.9,19279,Female,4,Computer Science,State College,932702
71.8,73.8,76421,Male,3,Mechanical,State College,391187
76.7,76.9,27103,Male,1,Computer Science,State College,941540
86.5,82.3,1382,Male,1,Computer Science,NIT,1932715
83.3,85.0,7423,Male,7,Mechanical,State College,699679
63.400000000000006,59.0,32709,Male,7,Electrical,Private College,875502
96.0,88.4,3369,Female,2,Computer Science,State College,1123440
75.9,82.3,8836,Male,4,Electrical,NIT,1217557
87.9,84.8,2317,Female,2,Computer Science,State College,1373681
71.8,75.2,21305,Male,8,Electrical,State College,250000
93.5,82.2,13606,Male,10,Electronics,State College,1162731
74.5,79.1,3431,Male,7,Electrical,State College,826214
84.6,81.4,10017,Male,8,Computer Science,State College,515221
73.5,73.9,3924,Male,4,Computer Science,NIT,1761103
89.4,79.0,15968,Male,1,Mechanical,State College,250000
76.9,68.3,6002,Male,1,Computer Science,State College,250000
75.2,81.2,8684,Male,3,Civil,State College,400529
83.5,79.4,22945,Male,3,Mechanical,State College,497853
83.5,81.0,121964,Male,1,Civil,State College,402213
67.7,64.7,18866,Male,2,Civil,Private College,772827
88.6,82.2,9193,Male,9,Mechanical,State College,915329
75.3,75.5,148840,Male,7,Computer Science,NIT,1736444
90.1,90.3,7468,Male,2,Electrical,State College,665259
78.9,71.9,25692,Male,9,Computer Science,State College,2387302
69.8,72.2,43367,Male,4,Mechanical,State College,567223
78.4,79.4,15866,Male,3,Computer Science,NIT,1676960
85.8,76.4,3853,Male,5,Mechanical,State College,540815
68.3,73.0,16378,Male,4,Computer Science,State College,723177
68.0,65.9,30920,Female,3,Computer Science,State College,1953333
89.4,82.4,4175,Female,4,Electronics,State College,875563
73.4,68.2,4851,Male,9,Mechanical,State College,250000
89.9,85.8,8586,Male,5,Electronics,NIT,1572762
70.4,65.4,69557,Male,9,Mechanical,State College,438009
83.3,77.7,17793,Male,4,Computer Science,Private College,998215
69.6,69.6,4557,Female,2,Electrical,State College,601018
65.8,69.3,8238,Female,10,Electrical,State College,872642
70.6,75.3,3806,Male,2,Mechanical,State College,376131
91.0,78.9,13221,Male,3,Computer Science,State College,501837
82.1,85.9,5205,Female,3,Mechanical,NIT,250000
87.2,91.8,688,Male,6,Computer Science,Mid IIT,2454910
92.8,93.8,7383,Male,4,Electrical,State College,250000
75.5,78.5,53645,Female,5,Computer Science,State College,1336611
97.6,90.7,164,Female,3,Computer Science,NIT,1655715
67.4,69.5,93527,Male,4,Civil,State College,893218
98.0,91.6,2504,Female,8,Computer Science,State College,1631185
89.7,94.3,2976,Male,2,Electrical,State College,250000
79.2,76.7,46898,Male,7,Computer Science,State College,1529479
85.8,80.2,66924,Male,7,Mechanical,State College,761846
70.8,66.0,249635,Female,5,Mechanical,State College,601250
84.8,87.3,3225,Male,6,Electronics,State College,633324
96.0,94.2,8669,Male,7,Computer Science,Private College,410632
90.8,87.9,15409,Male,2,Electronics,State College,257143
73.8,68.9,2512,Female,8,Computer Science,State College,1026836
76.6,70.3,4906,Male,2,Civil,State College,589482
92.7,91.2,3152,Male,4,Civil,State College,447927
80.4,79.9,14212,Male,9,Electrical,State College,767965
69.9,67.5,5227,Female,4,Computer Science,State College,682559
79.9,76.6,53136,Female,8,Computer Science,State College,609098
73.7,66.0,21827,Male,5,Computer Science,State College,770268
89.0,87.4,8113,Male,10,Computer Science,Mid IIT,2911511
86.5,76.4,334,Male,4,Computer Science,Private College,521203
74.9,73.5,24376,Female,2,Electrical,Private College,389874
72.3,70.0,14314,Male,3,Computer Science,State College,1598184
75.3,74.3,19561,Female,5,Computer Science,State College,2063149
75.6,80.1,16906,Male,5,Computer Science,State College,847337
88.0,85.2,382,Male,2,Civil,Mid IIT,2014162
94.9,95.9,1894,Female,9,Mechanical,NIT,952245
82.0,83.4,9600,Male,1,Computer Science,NIT,1383636
70.5,71.1,3116,Male,5,Civil,NIT,730119
91.7,85.8,5953,Male,5,Electronics,State College,527221
95.6,92.2,5013,Male,3,Mechanical,State College,426533
75.7,74.5,3501,Male,6,Mechanical,State College,894806
77.2,76.3,68295,Male,3,Mechanical,State College,525629
84.7,81.7,57896,Male,2,Electronics,State College,1342566
66.1,62.5,219430,Male,1,Mechanical,NIT,985443
58.0,62.0,4397,Male,1,Mechanical,Private College,295803
82.5,81.5,6822,Male,2,Electronics,State College,824836
86.5,83.7,6974,Male,1,Civil,State College,331342
77.1,79.9,20123,Female,10,Electrical,State College,978397
98.0,91.1,1,Female,3,Computer Science,State College,526051
83.0,76.9,58716,Male,4,Civil,NIT,1149538
71.5,76.8,14736,Female,8,Mechanical,State College,649503
96.6,90.4,7315,Male,4,Civil,State College,718717
65.1,68.3,1480,Female,10,Mechanical,NIT,1070616
86.3,79.7,10866,Male,4,Computer Science,State College,1718604
72.3,71.4,9370,Female,6,Mechanical,NIT,1744016
96.1,94.1,1322,Male,9,Computer Science,Private College,833546
99.0,95.0,487,Male,7,Computer Science,State College,1522665
68.6,71.1,7783,Female,3,Computer Science,State College,880086
71.6,81.8,41395,Male,2,Civil,NIT,815125
83.8,80.9,85218,Female,4,Mechanical,State College,250000
78.1,82.1,9080,Male,2,Mechanical,Private College,250000
90.5,84.5,1694,Male,5,Civil,State College,944449
